Sv_%_v_v_20C,wE_mass_fraction,wE_%_m_m,rho_mix_g_per_mL_20C
0,0,0,1
1,0.007900534,0.790053351,0.998970511
2,0.015822965,1.582296549,0.997587968
3,0.023768251,2.376825055,0.996169236
4,0.031733798,3.173379839,0.994825757
5,0.03972482,3.972482001,0.993383985
6,0.047731751,4.773175092,0.992094342
7,0.055757764,5.575776352,0.990836011
8,0.063802413,6.380241266,0.98960521
9,0.071865756,7.18657559,0.98839286
10,0.079949148,7.994914837,0.987177495
11,0.08805274,8.805274035,0.985959093
12,0.096173617,9.617361722,0.984769033
13,0.104311075,10.43110746,0.983607928
14,0.112465849,11.24658494,0.98246357
15,0.120639176,12.06391759,0.981323016
16,0.128821757,12.88217569,0.980256775
17,0.137032537,13.7032537,0.979116368
18,0.145256673,14.52566726,0.978014968
19,0.153494969,15.34949689,0.976941466
20,0.161748821,16.17488207,0.975883468
21,0.170009391,17.00093909,0.974889676
22,0.17831835,17.83183497,0.973723682
23,0.186634668,18.66346679,0.972623158
24,0.19496686,19.49668596,0.971537421
25,0.203325398,20.33253983,0.970414919
26,0.211715276,21.17152765,0.96923757
27,0.220126235,22.01262347,0.968057262
28,0.228558433,22.85584328,0.966873973
29,0.236976488,23.69764875,0.965832528
30,0.245448705,24.54487048,0.964649621
31,0.253973005,25.39730054,0.963348052
32,0.262527893,26.25278926,0.962018921
33,0.271109178,27.11091777,0.96068013
34,0.279727044,27.97270436,0.959298023
35,0.288371039,28.83710392,0.957911726
36,0.297064548,29.70645484,0.956446676
37,0.305772206,30.57722058,0.955020746
38,0.31452873,31.45287296,0.953525614
39,0.323333129,32.33331289,0.951970499
40,0.332155815,33.21558153,0.9504455
41,0.341040521,34.10405206,0.948826842
42,0.350004909,35.00049087,0.947074717
43,0.358968359,35.89683591,0.945412573
44,0.367982659,36.79826586,0.943700992
45,0.377065347,37.70653472,0.941900396
46,0.386195003,38.61950031,0.940070164
47,0.395363564,39.53635642,0.938232133
48,0.404593312,40.45933121,0.936335794
49,0.413877581,41.38775811,0.934400938
50,0.42319078,42.31907796,0.932487235
51,0.432546328,43.25463277,0.93056483
52,0.441960357,44.19603568,0.928600934
53,0.451480268,45.14802684,0.92650162
54,0.461042905,46.10429047,0.924403338
55,0.470608959,47.06089588,0.922383631
56,0.480275401,48.02754007,0.920252004
57,0.489992716,48.99927155,0.918109159
58,0.499701409,49.97014089,0.916065458
59,0.509519507,50.95195066,0.913903381
60,0.519423582,51.9423582,0.911672124
61,0.529385213,52.93852132,0.909425477
62,0.539403826,53.9403826,0.907165979
63,0.549480409,54.94804095,0.904893407
64,0.559615982,55.96159817,0.902607532
65,0.569921752,56.99217517,0.900134095
66,0.580145776,58.01457757,0.89787502
67,0.590590542,59.05905416,0.895359412
68,0.601131933,60.11319333,0.892787706
69,0.611623557,61.16235566,0.890377086
70,0.622145851,62.21458512,0.888003993
71,0.632747093,63.27470934,0.885599327
72,0.643498247,64.34982472,0.88306814
73,0.654424154,65.44241536,0.880384987
74,0.665357116,66.53571155,0.877780648
75,0.676260926,67.6260926,0.875298243
76,0.687359147,68.73591468,0.872647731
77,0.698660003,69.86600031,0.869829098
78,0.709863258,70.98632576,0.867219416
79,0.721093388,72.10933882,0.864658601
80,0.732681851,73.26818511,0.861754661
81,0.744252459,74.42524594,0.858961757
82,0.755877529,75.58775288,0.856192671
83,0.767722315,76.77223146,0.853263201
84,0.779479376,77.94793761,0.850518462
85,0.791568643,79.15686432,0.847499463
86,0.803784468,80.37844677,0.844438313
87,0.816117725,81.61177247,0.841347736
88,0.828571868,82.85718676,0.838226866
89,0.841150522,84.11505221,0.835074795
90,0.853857499,85.38574992,0.831890568
91,0.866696808,86.66968081,0.82867318
92,0.879963223,87.99632232,0.82514903
93,0.893538126,89.3538126,0.821445866
94,0.907036944,90.70369436,0.817922142
95,0.920973026,92.09730261,0.814115049
96,0.935023469,93.50234692,0.810322334
97,0.949930747,94.99307472,0.805914328
98,0.964479157,96.44791569,0.801940814
99,0.980039141,98.00391412,0.797261627
100,1,100,0.791860873
